comid,huc8_from,huc8_to
12621352,10040201,10040202
12643973,10030204,10030203
12646301,10030203,10030102
12657509,10030202,10030203
12669830,10160011,10170101
12695088,10160009,10160006
12699522,10160006,10160011
12714180,10160005,10160006
12731387,10040204,10040203
12736390,10030102,10040101
12737920,10040101,10040104
12737936,10040102,10040101
12746321,10030205,10030203
12753243,10090102,10100001
12773201,10080016,10080015
12783707,10080015,10100001
12794325,10080012,10080014
12795819,10080013,10080012
12801364,10080010,10080015
12804390,10080007,10080010
12804396,10080009,10080010
12829528,10080008,10080007
12868251,10080005,10080007
12871159,10080006,10080005
12876592,10080004,10080005
12882234,10080003,10080002
12888255,10080002,10080001
12902086,10080001,10080005
12913567,10070008,10070007
13221941,10090210,10090209
13235013,10100003,10100001
13246138,10100002,10100001
13254383,10100001,10100004
13466322,10110204,10110205
14376409,10120112,10130105
14399470,10120109,10120111
14482762,10130101,10130102
14485572,10130206,10130102
14485742,10130104,10130102
14496940,10130306,10130102
14505178,10130102,10130105
14519781,10130201,10130101
14539620,10120113,10120112
14555731,10120111,10120112
14566514,10110203,10110205
14586267,10110102,10110101
14610434,10250011,10250009
14625774,10230003,10230001
14626284,10230005,10230003
14682372,10130103,10130102
15963456,10180005,10180004
15966999,10180004,10180003
15976262,10180006,10180003
15976270,10180003,10180007
15977496,10180002,10180003
15994946,10180001,10180002
16012142,10170103,10170102
16016398,10170102,10170101
16025615,10150005,10150004
16039596,10150004,10150007
16053998,10150003,10150004
16068627,10150002,10150003
16076134,10140202,10140204
16093991,10140201,10140202
16130497,10140102,10140101
16159578,10130305,10130306
16175418,10130304,10130305
16188778,10130302,10130303
16214770,10130204,10130206
16225269,10130203,10130102
16238041,10130202,10130203
17219390,10230007,10230006
17219530,10230006,10240001
17240710,10230002,10230001
17245948,10230004,10230001
17246492,10230001,10230006
17264627,10220003,10200202
17274736,10220002,10220003
17288105,10220001,10220003
17299974,10210010,10210009
17309874,10210009,10200103
17319632,10210008,10210007
17324421,10210007,10210009
17334243,10210006,10210007
17341443,10210005,10210004
17356999,10210004,10210003
17375744,10210003,10210009
17391633,10210002,10210003
17394920,10210001,10210003
17399989,10200203,10200202
17416474,10200202,10240001
17424618,10200201,10200202
17435080,10190018,10200101
17443780,10190017,10190016
17451617,10190012,10190018
17457349,10190015,10190016
17465566,10180014,10200101
17470213,10180013,10180009
17483383,10180011,10180009
17485389,10180010,10180011
17508864,10180012,10180009
17523536,10180009,10180014
17535043,10120110,10120111
18771288,10270206,10270207
18792702,10270204,10270202
18805617,10270203,10270202
18822384,10270202,10270205
18831989,10270201,10270202
18841714,10270101,10270102
18850632,10260011,10260012
18853724,10260012,10260015
18883090,10260010,10260008
18939590,10260005,10260003
18944361,10260004,10260003
18951675,10260003,10260006
18967684,10260002,10260003
18967738,10260001,10260003
19043531,10250009,10250016
19043561,10250015,10250009
19063324,10250008,10250009
19075329,10250006,10250005
19081619,10250005,10250004
19094021,10250007,10250004
19095575,10250004,10250009
19129065,10240009,10240010
19153189,10240008,10240005
19158078,10240007,10240008
19161769,10240006,10240005
19167241,10240003,10240004
19210355,10240002,10240004
19251225,10130105,10140101
20178457,10140203,10140204
21540576,10110205,10110101
21543560,10110101,10130101
21861136,10130205,10130206
21873545,10100004,10110101
22095291,10180008,10180009
22109495,10180007,10180008
24094614,10220004,10220003
24095198,10240005,10240011
24595173,10060007, 
25068602,10260006,10260008
27555905,10130301,10130302
940030034,10020008,10030101
940080029,10080011,10080010
940120150,10120202,10120111
940130350,10130106,10130102
940130672,10130303,10130102
940190220,10190016,10190018
940260239,10260008,10270101
371339,11110101,11110102
393360,11100301,11100302
404770,11110103,11110102
